No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,age,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,,,
,Kempton (AW),2025-11-19,4:40,Set Your Limits With Unibet Nursery Handicap (Rider Restricted Race),Class 6,8f,Standard To Slow,AW,2,Moon Is Up (IRE),2,13,21,9,Jack Callan,Charlie Johnston,130,0.5,In touch with leaders - lost position 2f out - weakened over 1f out(op 12/1),01:43.3,https://www.rp-assets.com/svg/5/5/6/111655.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,6,Rebel Rocker (GB),2,1,13,2,Aiden Brookes,Faye Bramley,129,0,Midfield - in touch with leaders 2f out - headway then switched left over 1f out - led inside final 110yds - kept on(op 50/1),01:40.5,https://www.rp-assets.com/svg/b/0/5/170050b.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,12,Guesstimate (GB),2,2,6,5,Harry Burns,William Haggas,126,1.25,Led - headed and weakened inside final 110yds(op 5/2),01:40.8,https://www.rp-assets.com/svg/9/6/7/291769.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,8,Three No Trumps (GB),2,3,101,6,Alistair Rawlinson,Ed Dunlop,129,0.3,Midfield - headway from 2f out - kept on inside final furlong(op 40/1),01:40.8,https://www.rp-assets.com/svg/9/1/6/364619.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,11,Beckon (GB),2,4,29,7,Thomas Greatrex,Harry Charlton,126,2,Towards rear - headway from 2f out - kept on inside final furlong(tchd 25/1),01:41.2,https://www.rp-assets.com/svg/1/2/6/364621.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,4,Marseillan (IRE),2,5,4.2,3,Kevin Stott,Lemos De Souza,131,0.5,Prominent - no impression over 1f out - hung left and weakened inside final furlong(op 10/3 tchd 4/1),01:41.3,https://www.rp-assets.com/svg/0/0/1/230100.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,1,Bridge Of Eagles (IRE),2,6,7.5,1,Toby Moore,David Menuisier,133,0.5,Midfield - headway from over 1f out - weakened inside final furlong(op 10/3),01:41.4,https://www.rp-assets.com/svg/9/4/6/362649.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,14,Annahita (GB),2,7,51,10,Millie Wonnacott,Harry Charlton,124,1.25,Ducked left start - towards rear - some headway over 1f out - kept on inside final furlong(op 66/1 tchd 80/1),01:41.7,https://www.rp-assets.com/svg/4/9/9/275994.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,7,Rum Diamond (GB),2,8,10,8,Dougie Costello,James Owen,129,0.5,Ducked left start - in touch with leaders early - prominent after 1f - hung left 3f out - weakened from over 1f out(op 17/2 tchd 8/1 and tchd 11/1),01:41.8,https://www.rp-assets.com/svg/e/9/9/302299e.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,2,Mythical Valentine (IRE),2,9,4.33,11,Callum Hutchinson,Andrew Balding,133,0.05,Slowly away - towards rear - some headway over 1f out - no impression inside final furlong(op 15/2),01:41.8,https://www.rp-assets.com/svg/8/3/3/160338.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,10,Adores (IRE),2,10,13,12,Jack Callan,Roger Teal,126,1,Carried left start - held up in rear - some headway over 1f out - weakened inside final furlong(op 22/1),01:42.0,https://www.rp-assets.com/svg/f/5/0/209605f.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,3,Senior Awareness (GB),2,11,13,9,Laura Pearson,James Owen,133,0.75,Carried left start - midfield - weakened from over 1f out(op 16/1),01:42.1,https://www.rp-assets.com/svg/9/9/2/302299.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,5,Lord Mayor (GB),2,12,23,13,William Carver,Andrew Balding,129,9,In touch with leaders - raced awkwardly and weakened quickly from 2f out(op 25/1 tchd 20/1),01:43.9,https://www.rp-assets.com/svg/9/3/6/14639.svg
,Kempton (AW),2025-11-19,5:10,British Stallion Studs EBF Restricted Maiden Stakes (Bands B/C/D) (Rider Restricted) (GBB/GBBPlus),Class 2,8f,Standard To Slow,AW,9,Living In Hope (GB),2,13,34,14,Pierre-Louis Jamin,Harry Eustace,128,3.25,Slowly into stride - in rear throughout(tchd 28/1 and tchd 40/1),01:44.6,https://www.rp-assets.com/svg/4/8/9/212984.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,1,Two Tempting (IRE),6,1,7,6,Kevin Stott,Jonathan Portman,138,0,In touch with leaders - pressed leaders going best 2f out - pushed along to lead over 1f out - ridden and ran on well inside final furlong - comfortably(op 13/2),01:38.8,https://www.rp-assets.com/svg/c/2/8/96782c.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,8,First Principle (GB),3,2,4.33,3,Harry Burns,William Haggas,128,1.25,Prominent - pressed leader over 2f out - briefly led over 1f out - outpaced final 110yds(op 4/1 tchd 3/1),01:39.0,https://www.rp-assets.com/svg/2/7/3/159372.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,10,Notimeforchitchat (IRE),3,3,29,8,Jack Nicholls,Richard Hughes,114,1.25,Towards rear - in touch with leaders 2f out - outpaced over 1f out - kept on final 110yds - no impression towards finish(op 33/1),01:39.3,https://www.rp-assets.com/svg/6/3/6/155636.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,5,Local Hero (IRE),4,4,4.5,5,Tyrese Cameron,Richard Hannon,130,0.5,Prominent - bit short of room on inner over 2f out - pressed leaders briefly 1f out - outpaced final 110yds(op 11/4),01:39.4,https://www.rp-assets.com/svg/2/3/3/10332.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,3,Silver Peak (FR),3,5,5,10,Dougie Costello,Charlie Appleby,138,0.5,Held up in rear - outpaced over 1f out - kept on final 110yds(op 6/1),01:39.5,https://www.rp-assets.com/svg/5/4/8/49845.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,2,Dividend (GB),3,6,8,9,Elizabeth Gale,Dr Richard Newland & Jamie Insole,133,0.3,Held up in rear - waiting for room 2f out - brief headway over 1f out - outpaced inside final furlong(op 11/2 tchd 5/1),01:39.5,https://www.rp-assets.com/svg/0/5/5/344550.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,9,Invited (GB),3,7,12,2,Jack Callan,George Boughey,122,1.75,Took keen hold - led - faced challenge over 2f out - headed over 1f out - outpaced and lost ground quickly inside final furlong(op 9/1),01:39.9,https://www.rp-assets.com/svg/0/0/8/212800.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,7,Supido (FR),3,8,15,7,Ryan Kavanagh,Ian Williams,128,1.25,In touch with leaders - waiting for room on inner over 2f out - outpaced over 1f out - soon lost position(op 12/1),01:40.2,https://www.rp-assets.com/svg/3/6/3/335363.svg
,Kempton (AW),2025-11-19,5:40,Try Unibet's New Improved Acca Boosts Handicap (London Mile Series Qual') (Rider Restricted Race),Class 2,8f,Standard To Slow,AW,4,Brian (IRE),3,9,15,4,Toby Moore,J S Moore,130,4,Midfield - dropped to rear halfway - outpaced and lost touch over 1f out(tchd 16/1),01:41.0,https://www.rp-assets.com/svg/3/9/6/344693.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,1,One And Gone (IRE),2,1,2.2,1,Ryan Kavanagh,Ian Williams,128,0,In touch with leaders - headway to lead over 1f out - kept on well inside final furlong(op 5/4 tchd 11/10 and tchd 11/8),01:13.3,https://www.rp-assets.com/svg/2/7/7/306772.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,3,Cool Doc Boy (IRE),2,2,5,3,William Carver,Jamie Osborne,131,1,Midfield - headway from over 1f out - kept on but no extra inside final furlong(op 14/1),01:13.5,https://www.rp-assets.com/svg/b/3/5/252453b.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,6,Cool Molly (IRE),2,3,8.5,7,Pierre-Louis Jamin,Ollie Sangster,128,5,Disputed lead at fast pace - headed and hung left over 1f out - weakened inside final furlong(op 6/1 tchd 11/2),01:14.5,https://www.rp-assets.com/svg/7/4/4/355447.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,2,Phantom Shadow (FR),2,4,17,5,Millie Wonnacott,Harry Charlton,128,0.5,Dwelt start - towards rear - headway over 1f out - no impression inside final furlong(op 18/1 tchd 20/1),01:14.6,https://www.rp-assets.com/svg/1/8/0/358081.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,4,Grand Vista (IRE),2,5,3.5,6,Jack Callan,William Muir & Chris Grassick,126,1.25,Midfield - in touch with leaders over 2f out - weakened from over 1f out(op 7/4 tchd 13/8),01:14.8,https://www.rp-assets.com/svg/2/3/0/358032.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,7,Escape Magic (GB),2,6,41,4,Owen Lewis,Owen Burrows,123,1,Midfield - in touch with leaders over 2f out - weakened from over 1f out(op 28/1 tchd 50/1),01:15.0,https://www.rp-assets.com/svg/6/9/9/261996.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,8,Magnificent Mel (IRE),2,7,67,8,Alistair Rawlinson,Rod Millman,128,1.25,Taken down early - towards rear throughout(op 50/1),01:15.3,https://www.rp-assets.com/svg/2/3/3/240332.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,9,Imthequeenofsheba (GB),2,8,251,9,William Cox,Dominic Ffrench Davis,126,1.25,In rear throughout(op 150/1 tchd 300/1),01:15.5,https://www.rp-assets.com/svg/2/4/3/306342.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,5,Slack Bob (GB),2,9,67,10,Tyler Heard,Ed Dunlop,131,2.25,Disputed lead at fast pace - weakened quickly from over 1f out(op 50/1),01:16.0,https://www.rp-assets.com/svg/6/4/4/253446.svg
,Kempton (AW),2025-11-19,6:10,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div I),Class 5,6f,Standard To Slow,AW,10,Peas And Queues (GB),2,10,34,2,Callum Hutchinson,J S Moore,126,70,Slowly away - in rear - soon tailed off(tchd 28/1),01:30.0,https://www.rp-assets.com/svg/0/1/8/345810.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,1,Mighty Vega (IRE),2,1,2.88,8,Kevin Stott,Lemos De Souza,133,0,Prominent early - soon in touch with leaders - headway over 1f out - went second inside final furlong - pressed leader towards finish - led post(op 3/1),01:14.2,https://www.rp-assets.com/svg/1/5/8/348851.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,5,Allegrino (IRE),2,2,34,4,Callum Hutchinson,Andrew Balding,128,0.1,Pressed leader - led after 1f - faced challenge towards finish - headed post(tchd 28/1),01:14.2,https://www.rp-assets.com/svg/8/9/9/363998.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,9,Lolabella (IRE),2,3,6.5,3,Georgia Dobie,Eve Johnson Houghton,126,1.5,Took keen hold - midfield - headway inside final furlong - went third inside final 110yds(op 6/1),01:14.5,https://www.rp-assets.com/svg/c/2/8/124382c.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,8,Warrior Queen (IRE),2,4,126,6,Harry Burns,James Horton,125,2.25,Led - headed and pressed leader after 1f - lost second inside final furlong - soon no extra - lost third inside final 110yds(tchd 80/1),01:15.0,https://www.rp-assets.com/svg/b/8/6/58868b.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,6,Euphonia (GB),2,5,1.62,2,Jack Callan,Ed Walker,123,0.75,Took keen hold - in touch with leaders - no extra inside final furlong(op 2/5 tchd 4/6),01:15.1,https://www.rp-assets.com/svg/3/8/9/353983.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,4,Electrocution (GB),2,6,251,9,Joey Haynes,Chelsea Banham,131,1.25,In rear - some headway inside final furlong - no telling impression(op 200/1 tchd 150/1),01:15.4,https://www.rp-assets.com/svg/3/1/5/295513.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,2,Sun Path (IRE),2,7,17,1,Dougie Costello,Marcus Tregoning,133,1.25,Towards rear throughout(op 20/1),01:15.6,https://www.rp-assets.com/svg/5/4/9/353945.svg
,Kempton (AW),2025-11-19,6:40,Unibet/British Stallion Studs EBF Restricted Novice Stakes (C/D) (Rider Restricted) (GBB) (Div II),Class 5,6f,Standard To Slow,AW,7,Parole Board (GB),2,8,126,5,Rhys Clutterbuck,Pat Phelan,128,1,Never better than midfield(op 100/1),01:15.8,https://www.rp-assets.com/svg/0/9/3/130390.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,4,From The Hip (GB),2,1,5,5,Tyler Heard,Mark Usher,133,0,,01:13.9,https://www.rp-assets.com/svg/d/4/9/239594d.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,7,Station Bar (GB),2,2,5,1,Callum Hutchinson,Eve Johnson Houghton,126,0.2,,01:13.9,https://www.rp-assets.com/svg/5/5/1/17155.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,3,Davvy (GB),2,3,17,4,Neil Callan,David Evans,133,0.05,,01:13.9,https://www.rp-assets.com/svg/d/4/0/242504d.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,5,Credit Forgedd It (IRE),2,4,3.75,6,John Fahy,Richard Hannon,133,3.75,,01:14.7,https://www.rp-assets.com/svg/9/8/9/353989.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,1,Akabusi (GB),2,5,8,7,Toby Moore,Dylan Cunha,128,0.3,,01:14.7,https://www.rp-assets.com/svg/2/7/2/316272.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,2,Too Darn Good (IRE),2,6,4.6,2,Ben Sanderson,Charles Hills,134,0.2,,01:14.8,https://www.rp-assets.com/svg/4/9/9/353994.svg
,Kempton (AW),2025-11-19,7:10,Unibet 40 000+ Live Streamed Events Nursery Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,6,Hello It's Me (GB),2,7,11,3,Kevin Stott,Hugo Palmer,130,0.5,,01:14.9,https://www.rp-assets.com/svg/7/9/1/362197.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,1,Justcallmepete (GB),6,1,4.33,7,Dougie Costello,Tony Carroll,135,0,Made all - ridden 2f out - kept on well inside final furlong(tchd 11/4 and tchd 7/2),01:13.0,https://www.rp-assets.com/svg/5/5/5/284555.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,4,Hierarchy (IRE),6,2,8,2,William Carver,Jamie Osborne,134,1.25,Towards rear - headway over 1f out - kept on well and went second inside final 110yds(tchd 13/2),01:13.3,https://www.rp-assets.com/svg/1/8/8/97881.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,2,Cayman Tai (IRE),3,3,5,4,Thomas Greatrex,Richard Hannon,135,1,Took keen hold - in touch with leaders - headway and went second 3f out - no extra and lost second final 110yds(tchd 9/2),01:13.5,https://www.rp-assets.com/svg/5/0/0/354005.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,5,Distant Rumble (GB),3,4,11,6,Jack Callan,Roger Teal,129,1,Took keen hold - towards rear - headway after 2f - on near side of group when kept on inside final 110yds(op 8/1),01:13.7,https://www.rp-assets.com/svg/f/5/0/209605f.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,7,Bint Havana Gold (GB),4,5,15,3,Donagh Murphy,Richard Hughes,125,0.1,Took keen hold - pressed leader early - soon prominent(op 18/1 tchd 20/1),01:13.7,https://www.rp-assets.com/svg/3/6/4/339463.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,6,Lerwick (GB),5,6,10,1,Toby Moore,Mark Loughnane,125,0.2,In touch with leaders(op 6/1),01:13.8,https://www.rp-assets.com/svg/8/6/4/357468.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,8,Supreme King (IRE),5,7,9.5,9,Phoebe Edwards,David Evans,125,1.5,Took keen hold - held up in rear(op 8/1),01:14.0,https://www.rp-assets.com/svg/2/3/1/355132.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,3,Siobhanbrogan (IRE),4,8,19,8,Liam Wright,Hugo Palmer,130,0.5,Slowly into stride - in rear(op 25/1),01:14.1,https://www.rp-assets.com/svg/8/9/0/333098.svg
,Kempton (AW),2025-11-19,7:40,Unibet More Extra Place Races Handicap (Rider Restricted Race),Class 5,6f,Standard To Slow,AW,10,Havana Joy (GB),3,9,29,10,Ben Sanderson,Charles Hills,130,14,Took keen hold - in touch with leaders on outer(op 25/1 tchd 33/1),01:16.9,https://www.rp-assets.com/svg/0/6/9/344960.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,4,Aeolian (GB),3,1,17,9,Harry Burns,William Haggas,133,0,(op 12/1 tchd 18/1),02:19.8,https://www.rp-assets.com/svg/6/7/6/327676.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,12,Hinchinbrooke (GB),3,2,3.75,7,Kevin Stott,Jane Chapple-Hyam,128,2.75,(op 3/1 tchd 5/2),02:20.3,https://www.rp-assets.com/svg/c/1/9/6291c.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,14,Hebridean Nomad (GB),4,3,12,13,Callum Hutchinson,Andrew Balding,124,1.5,(op 14/1),02:20.6,https://www.rp-assets.com/svg/9/0/8/147809.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,1,Miss Tonnerre (IRE),3,4,13,3,George Downing,Ed Walker,140,0.3,(op 15/2 tchd 11/1),02:20.7,https://www.rp-assets.com/svg/3/5/6/92653.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,6,Just Keep Flying (USA),3,5,3,10,Tyler Heard,John & Thady Gosden,133,0.5,(op 9/4),02:20.8,https://www.rp-assets.com/svg/7/2/2/201227.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,9,Blast The Dream (GB),3,6,8,6,Aidan Keeley,Roger Varian,130,2,(op 8/1 tchd 13/2),02:21.2,https://www.rp-assets.com/svg/b/2/1/225412b.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,3,Ludo's Landing (IRE),5,7,12,4,Neil Callan,Charlie Johnston,138,2.25,(op 9/1 tchd 17/2),02:21.6,https://www.rp-assets.com/svg/6/4/3/317346.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,2,Shihoku (FR),4,8,10,14,Dougie Costello,James Owen,140,1.5,(op 10/1),02:21.9,https://www.rp-assets.com/svg/2/2/2/359222.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,8,Shahbaz (IRE),5,9,19,12,William Cox,Archie Watson,130,1.75,(op 28/1),02:22.3,https://www.rp-assets.com/svg/8/6/5/303568.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,13,Youarenotforgiven (GB),7,10,34,2,Matthew Lloyd Slater,Tony Carroll,118,0.3,(op 28/1 tchd 40/1),02:22.3,https://www.rp-assets.com/svg/5/5/7/7755.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,7,Yokkell (IRE),6,11,101,1,Taryn Langley,Adrian Wintle,126,1,(tchd 80/1),02:22.5,https://www.rp-assets.com/svg/6/7/6/309676.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,11,Pursuit Of Truth (IRE),4,12,34,11,Rhys Clutterbuck,Pat Phelan,128,12,(tchd 28/1),02:24.9,https://www.rp-assets.com/svg/0/0/3/361300.svg
,Kempton (AW),2025-11-19,8:10,Unibet 3 Uniboosts A Day Handicap (London Middle Distance Series Qualifier) (Rider Restricted Race),Class 4,11f,Standard To Slow,AW,5,Chartwell Jock (GB),3,13,34,8,William Carver,Seamus Mullins,133,4,(op 40/1),02:25.7,https://www.rp-assets.com/svg/0/5/8/349850.svg
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,3,Onewaywest (IRE),6,1,3.75,,Elliott England,Ben Pauling,150,0,Jumped right throughout - made all - clear after 5th - went further clear after 3 out - shaken up approaching last - easily(op 3/1),04:41.4,https://www.rp-assets.com/svg/0/2/6/330620.svg
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,2,Vocito (IRE),7,2,34,,Aidan Weaver,Olly Murphy,158,12,Took keen hold - in touch with leaders - lost ground when not clear run home turn - headway before 2 out - went second approaching last - no match for winner(op 25/1 tchd 40/1),04:44.4,https://www.rp-assets.com/svg/4/2/3/254324.svg
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,4,Diamond Geezer (IRE),6,3,5,,Lewis Saunders,Olly Murphy,153,2.5,In touch with leaders - headway after 3 out - raced in second when not fluent 2 out - weakening when lost second approaching last(op 5/2),04:45.1,https://www.rp-assets.com/svg/b/0/3/293530b.svg
